split_method,split,rows,stocks,trading_dates,start_date,end_date,outperform_positive_rate,downside_positive_rate,outperform_positive_pct,downside_positive_pct
legacy,train,253538,90,3156,2011-01-03,2023-12-29,0.5129250842082843,0.14759917645481152,51.29250842082843,14.759917645481153
legacy,valid,21780,90,242,2024-01-02,2024-12-31,0.5045454545454545,0.12543617998163453,50.45454545454545,12.543617998163453
legacy,test,32135,90,359,2025-01-01,2026-06-16,0.5172864477983508,0.11196514703594213,51.72864477983508,11.196514703594213
purged,train,251738,90,3136,2011-01-03,2023-11-30,0.5121475502307955,0.14851552010423535,51.21475502307955,14.851552010423536
purged,valid,19980,90,222,2024-01-02,2024-12-02,0.5112612612612613,0.10490490490490491,51.126126126126124,10.49049049049049
purged,test,32135,90,359,2025-01-01,2026-06-16,0.5172864477983508,0.11196514703594213,51.72864477983508,11.196514703594213
