symbol,yf_ticker,company_name,industry,source,snapshot_date,active_for_v1,series,isin_code
NTPC,NTPC.NS,NTPC Ltd.,Power,NSE/Nifty Indices current NIFTY 100 constituent file,2026-07-14,True,EQ,INE733E01010
NESTLEIND,NESTLEIND.NS,Nestle India Ltd.,Fast Moving Consumer Goods,NSE/Nifty Indices current NIFTY 100 constituent file,2026-07-14,True,EQ,INE239A01024
ONGC,ONGC.NS,Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,NSE/Nifty Indices current NIFTY 100 constituent file,2026-07-14,True,EQ,INE213A01029
PIDILITIND,PIDILITIND.NS,Pidilite Industries Ltd.,Chemicals,NSE/Nifty Indices current NIFTY 100 constituent file,2026-07-14,True,EQ,INE318A01026
PFC,PFC.NS,Power Finance Corporation Ltd.,Financial Services,NSE/Nifty Indices current NIFTY 100 constituent file,2026-07-14,True,EQ,INE134E01011
POWERGRID,POWERGRID.NS,Power Grid Corporation of India Ltd.,Power,NSE/Nifty Indices current NIFTY 100 constituent file,2026-07-14,True,EQ,INE752E01010
PNB,PNB.NS,Punjab National Bank,Financial Services,NSE/Nifty Indices current NIFTY 100 constituent file,2026-07-14,True,EQ,INE160A01022
RECLTD,RECLTD.NS,REC Ltd.,Financial Services,NSE/Nifty Indices current NIFTY 100 constituent file,2026-07-14,True,EQ,INE020B01018
RELIANCE,RELIANCE.NS,Reliance Industries Ltd.,Oil Gas & Consumable Fuels,NSE/Nifty Indices current NIFTY 100 constituent file,2026-07-14,True,EQ,INE002A01018
SBILIFE,SBILIFE.NS,SBI Life Insurance Company Ltd.,Financial Services,NSE/Nifty Indices current NIFTY 100 constituent file,2026-07-14,True,EQ,INE123W01016
MOTHERSON,MOTHERSON.NS,Samvardhana Motherson International Ltd.,Automobile and Auto Components,NSE/Nifty Indices current NIFTY 100 constituent file,2026-07-14,True,EQ,INE775A01035
SHREECEM,SHREECEM.NS,Shree Cement Ltd.,Construction Materials,NSE/Nifty Indices current NIFTY 100 constituent file,2026-07-14,True,EQ,INE070A01015
SHRIRAMFIN,SHRIRAMFIN.NS,Shriram Finance Ltd.,Financial Services,NSE/Nifty Indices current NIFTY 100 constituent file,2026-07-14,True,EQ,INE721A01047
ENRIN,ENRIN.NS,Siemens Energy India Ltd.,Capital Goods,NSE/Nifty Indices current NIFTY 100 constituent file,2026-07-14,True,EQ,INE1NPP01017
SIEMENS,SIEMENS.NS,Siemens Ltd.,Capital Goods,NSE/Nifty Indices current NIFTY 100 constituent file,2026-07-14,True,EQ,INE003A01024
SOLARINDS,SOLARINDS.NS,Solar Industries India Ltd.,Chemicals,NSE/Nifty Indices current NIFTY 100 constituent file,2026-07-14,True,EQ,INE343H01029
SBIN,SBIN.NS,State Bank of India,Financial Services,NSE/Nifty Indices current NIFTY 100 constituent file,2026-07-14,True,EQ,INE062A01020
SUNPHARMA,SUNPHARMA.NS,Sun Pharmaceutical Industries Ltd.,Healthcare,NSE/Nifty Indices current NIFTY 100 constituent file,2026-07-14,True,EQ,INE044A01036
TVSMOTOR,TVSMOTOR.NS,TVS Motor Company Ltd.,Automobile and Auto Components,NSE/Nifty Indices current NIFTY 100 constituent file,2026-07-14,True,EQ,INE494B01023
TATACAP,TATACAP.NS,Tata Capital Ltd.,Financial Services,NSE/Nifty Indices current NIFTY 100 constituent file,2026-07-14,True,EQ,INE976I01016
TCS,TCS.NS,Tata Consultancy Services Ltd.,Information Technology,NSE/Nifty Indices current NIFTY 100 constituent file,2026-07-14,True,EQ,INE467B01029
TATACONSUM,TATACONSUM.NS,Tata Consumer Products Ltd.,Fast Moving Consumer Goods,NSE/Nifty Indices current NIFTY 100 constituent file,2026-07-14,True,EQ,INE192A01025
TMCV,TMCV.NS,Tata Motors Ltd.,Capital Goods,NSE/Nifty Indices current NIFTY 100 constituent file,2026-07-14,True,EQ,INE1TAE01010
TMPV,TMPV.NS,Tata Motors Passenger Vehicles Ltd.,Automobile and Auto Components,NSE/Nifty Indices current NIFTY 100 constituent file,2026-07-14,True,EQ,INE155A01022
TATAPOWER,TATAPOWER.NS,Tata Power Co. Ltd.,Power,NSE/Nifty Indices current NIFTY 100 constituent file,2026-07-14,True,EQ,INE245A01021
TATASTEEL,TATASTEEL.NS,Tata Steel Ltd.,Metals & Mining,NSE/Nifty Indices current NIFTY 100 constituent file,2026-07-14,True,EQ,INE081A01020
TECHM,TECHM.NS,Tech Mahindra Ltd.,Information Technology,NSE/Nifty Indices current NIFTY 100 constituent file,2026-07-14,True,EQ,INE669C01036
TITAN,TITAN.NS,Titan Company Ltd.,Consumer Durables,NSE/Nifty Indices current NIFTY 100 constituent file,2026-07-14,True,EQ,INE280A01028
TORNTPHARM,TORNTPHARM.NS,Torrent Pharmaceuticals Ltd.,Healthcare,NSE/Nifty Indices current NIFTY 100 constituent file,2026-07-14,True,EQ,INE685A01028
TRENT,TRENT.NS,Trent Ltd.,Consumer Services,NSE/Nifty Indices current NIFTY 100 constituent file,2026-07-14,True,EQ,INE849A01020
ULTRACEMCO,ULTRACEMCO.NS,UltraTech Cement Ltd.,Construction Materials,NSE/Nifty Indices current NIFTY 100 constituent file,2026-07-14,True,EQ,INE481G01011
UNIONBANK,UNIONBANK.NS,Union Bank of India,Financial Services,NSE/Nifty Indices current NIFTY 100 constituent file,2026-07-14,True,EQ,INE692A01016
UNITDSPR,UNITDSPR.NS,United Spirits Ltd.,Fast Moving Consumer Goods,NSE/Nifty Indices current NIFTY 100 constituent file,2026-07-14,True,EQ,INE854D01024
VBL,VBL.NS,Varun Beverages Ltd.,Fast Moving Consumer Goods,NSE/Nifty Indices current NIFTY 100 constituent file,2026-07-14,True,EQ,INE200M01039
VEDL,VEDL.NS,Vedanta Ltd.,Metals & Mining,NSE/Nifty Indices current NIFTY 100 constituent file,2026-07-14,True,EQ,INE205A01025
WIPRO,WIPRO.NS,Wipro Ltd.,Information Technology,NSE/Nifty Indices current NIFTY 100 constituent file,2026-07-14,True,EQ,INE075A01022
ZYDUSLIFE,ZYDUSLIFE.NS,Zydus Lifesciences Ltd.,Healthcare,NSE/Nifty Indices current NIFTY 100 constituent file,2026-07-14,True,EQ,INE010B01027
