loss,lr,valid_auc
0.7078654045673907,0.02,0.596973821220213
0.6561578628305026,0.02,0.5747179181442409
0.6529307459245701,0.02,0.5762896191913621
0.6504637310569297,0.02,0.5852616538771489
0.6446014664119691,0.02,0.6032774855472331
0.6463980048878072,0.02,0.6291635605240558
0.6422178157197825,0.02,0.5996342150260969
0.6391281229975807,0.02,0.6254877301942459
0.6356033003238647,0.02,0.6049023680598121
0.6288256236779483,0.02,0.6024009984403305
0.6210259980174551,0.01,0.607697109425287
0.6167773715889193,0.01,0.6012338740244596
0.6119779907014536,0.01,0.5992843271353472
0.602912045906288,0.01,0.6070597855176958
0.6012287555821422,0.01,0.6343173740739729
0.5925651358604765,0.01,0.5958298261399588
0.5881742747173839,0.01,0.6289300662795523
0.583203785377451,0.01,0.5587668398636847
0.581834514573865,0.01,0.5829791592681249
0.5875008004419499,0.01,0.5807212345761745
0.5806722128208194,0.005,0.6194791049528684
0.5796215368109534,0.005,0.6145341757142296
0.5747726435844824,0.005,0.6116858127056296
0.5684557044692365,0.005,0.5962231715713308
0.5677638857755746,0.005,0.569040039734438
0.5674568823419069,0.005,0.5898496657210761
0.5640343673716838,0.005,0.6056478823025742
0.5599069871513135,0.005,0.6130353707565805
0.5583311648450815,0.005,0.6064127243465522
0.5541925594490132,0.005,0.6080805308510657
