epoch,train_loss,valid_loss,valid_roc_auc,valid_average_precision,valid_log_loss,valid_brier_score,valid_precision,valid_recall,valid_f1,learning_rate,next_learning_rate,epoch_seconds
1,1.1478733169142141,1.0378410725741534,0.5895980841760557,0.14971584502501728,0.6858198396916593,0.24590680842361448,0.1353457738748628,0.5882633587786259,0.22006068177761914,0.0005,0.0005,3.55097329999262
2,1.0805332089342918,1.043837880205225,0.5968307634782934,0.15666898931958004,0.7047214328067063,0.2553836947152898,0.13235439046023456,0.6407442748091603,0.2193906722208609,0.0005,0.0005,3.353359000000637
3,1.0551745036879014,1.0456975876986683,0.6083229486973729,0.17132977679898925,0.7105328899927648,0.2582068431584142,0.13364947256363108,0.6588740458015268,0.2222222222222222,0.0005,0.0005,3.463159300008556
4,1.0326421516292366,1.043690065196804,0.6108726311505359,0.18175392907242877,0.710025986070207,0.25798198692679886,0.1329637194825406,0.6521946564885496,0.22089359295467398,0.0005,0.0005,3.5406594000087352
5,1.0162215382389919,1.0408588757863393,0.617987102740989,0.19455064923192744,0.7092079596743522,0.25741292428682744,0.1353733412556942,0.6521946564885496,0.22420862719370183,0.0005,0.0005,3.623929200010025
6,1.0004875894873073,1.0527980513281532,0.6152215064725859,0.1931208489124387,0.7306097675784547,0.2672909926985496,0.13188244047619047,0.6765267175572519,0.22073474470734744,0.0005,0.0005,4.402643200010061
7,0.9870323803970189,1.060591053843379,0.6133074138937786,0.19171411940041905,0.7347138207488368,0.2690520431135838,0.13165791447861966,0.6698473282442748,0.22006269592476488,0.0005,0.0005,3.424308200002997
8,0.9750183311587767,1.080335013167159,0.6085714089825696,0.18650635221710377,0.7687103389430513,0.2842751400359896,0.12714298146375425,0.6970419847328244,0.2150585118127622,0.0005,0.00025,3.729054300012649
9,0.9643617967228642,1.070421919832239,0.6123540824371139,0.1907623277809118,0.7463938376285181,0.2738053554261566,0.1323226651693805,0.674618320610687,0.2212486308871851,0.00025,0.00025,3.9485831999918446
10,0.9576694052609156,1.0730831571288773,0.6117121166559387,0.1881538344837505,0.7522858528277208,0.276580217101663,0.1310724106324473,0.6822519083969466,0.21989850838074734,0.00025,0.00025,3.731413600005908
11,0.9532010105532107,1.0750063977561317,0.6098887673702111,0.18754075998137176,0.7516723118710981,0.2762713387379072,0.12999080036798527,0.6741412213740458,0.21795465062471078,0.00025,0.000125,3.8904775000119116
12,0.9473765135192131,1.080210726444905,0.6112772344592206,0.18910910077212012,0.7663083631538555,0.2828303704727724,0.12953275999645358,0.6970419847328244,0.21846728971962617,0.000125,0.000125,3.7187211999989813
13,0.9460889971039657,1.0806773983083806,0.613061834771496,0.18847820888581332,0.7654808446992113,0.28225741488412054,0.12942547279734695,0.6889312977099237,0.2179129253753867,0.000125,0.000125,3.7810766999900807
14,0.9419928738578387,1.085130842932471,0.6116784497337379,0.18845104799248416,0.7699491091887998,0.2840381705780046,0.12876761191367933,0.6889312977099237,0.21697971450037565,0.000125,6.25e-05,3.3852468999975827
15,0.9379108442563816,1.0788152750070628,0.6115829978734884,0.18752076518485028,0.7598659783935653,0.279738461683516,0.12949705482555504,0.6817748091603053,0.21765288249181328,6.25e-05,6.25e-05,3.520630799990613
16,0.9362248296203285,1.086102993710263,0.6107064840891513,0.186251576289998,0.7706686249518744,0.28433135419731786,0.12885678616015694,0.6894083969465649,0.21712997746055598,6.25e-05,6.25e-05,3.502083900006255
17,0.9367395171253955,1.0836214005887448,0.6121861479876252,0.1875101690042731,0.7679743499037167,0.28306878306517186,0.12964788101424604,0.6903625954198473,0.21829976616127328,6.25e-05,3.125e-05,3.342175899990252
18,0.9347724054228299,1.085545807128196,0.6128877645120976,0.18753022953643042,0.7741923930028661,0.28582519762073794,0.12890936475591389,0.6941793893129771,0.21744003586639768,3.125e-05,3.125e-05,3.615183399990201
19,0.9330205772799294,1.080921521201148,0.6129182301421715,0.18642078699534176,0.764857971118841,0.28173328706239564,0.12970824677084275,0.6851145038167938,0.21812106022632338,3.125e-05,3.125e-05,4.160476700009895
20,0.9322367674400757,1.085773701710744,0.6125291931164536,0.1859694325789209,0.7733785286251789,0.28533847853666067,0.12892885762621317,0.6908396946564885,0.2173032190290388,3.125e-05,1.5625e-05,3.5452148000040324
