epoch,train_loss,valid_loss,valid_roc_auc,valid_average_precision,valid_log_loss,valid_brier_score,valid_accuracy,valid_balanced_accuracy,valid_precision,valid_recall,valid_f1,average_valid_probability,learning_rate,next_learning_rate,epoch_seconds
1,0.7009602183433575,0.6925749442479513,0.5315904519798225,0.5305586502227482,0.6925749324823667,0.2497061450101922,0.5223223223223223,0.5150783500364288,0.5204286671131949,0.8367107195301028,0.6417148434567159,0.5306071129169788,0.0005,0.0005,4.144770500002778
2,0.688694007702002,0.6914871704351675,0.5380108867740908,0.5339293707571484,0.6914871958668096,0.24915351961959728,0.5311811811811812,0.5273443544439708,0.5316276294196628,0.6976994615761135,0.6034460861098175,0.5167219327839168,0.0005,0.0005,4.135256800000207
3,0.6852196285681055,0.6956936891491826,0.5243476268922719,0.5231469137412192,0.6956936808350663,0.25118863418514936,0.5226226226226226,0.5173073843245791,0.5230068646774961,0.7533039647577092,0.6173780487804879,0.5322077372664207,0.0005,0.0005,4.029832599990186
4,0.6816906617778614,0.692683400394203,0.5400660655106204,0.5388733576762945,0.6926833781024845,0.24971009182708875,0.5314314314314315,0.5292740638484563,0.5357892086934631,0.6250611845325502,0.5769925899150551,0.511353586864722,0.0005,0.0005,4.011960200004978
5,0.6771320292927875,0.6993323089243533,0.523972266520701,0.5261598805148073,0.6993323028191397,0.2528999735699065,0.5224224224224224,0.5212394350947711,0.5304552448185356,0.5737640724424865,0.5512603461249059,0.5080585893508311,0.0005,0.0005,3.881193199995323
6,0.6719200425768961,0.7079251628857595,0.5220975097863924,0.5296742399029492,0.7079251662047137,0.25660625887893634,0.5177677677677678,0.5155211343217596,0.52418682235196,0.6152716593245228,0.5660887187570367,0.5237919135934658,0.0005,0.0005,4.0879179000039585
7,0.6672856543731039,0.707635535957577,0.5286386168949762,0.5279389371458849,0.7076355457019373,0.2563279356117836,0.5216716716716717,0.520428528571203,0.5296343001261034,0.5756240822320118,0.5516723741614674,0.5110346299056355,0.0005,0.00025,3.950455400001374
8,0.6617495192784122,0.7157224714696347,0.5192651690647996,0.5224682531300776,0.7157224639669683,0.25994721623974576,0.5148148148148148,0.5135129282635322,0.5233611335306251,0.5713166911404797,0.5462884957408968,0.5138020722264492,0.00025,0.00025,4.0519089000008535
9,0.6587271882121258,0.7206774147781165,0.5173502216427706,0.5188480312479509,0.7206774269180206,0.2619611157519511,0.5114114114114114,0.5111047952883963,0.5220609720463621,0.5247185511502692,0.5233863880480422,0.5044680493051285,0.00025,0.00025,4.228363699992769
10,0.6548861630977122,0.7261564590312817,0.5159481390754187,0.519360142399753,0.7261564461835558,0.2643045800716722,0.5100600600600601,0.5100110301332413,0.5212193664076509,0.5121879588839942,0.5166641978966079,0.5049085101271207,0.00025,0.000125,4.17360429999826
11,0.651470676532709,0.7330527816568171,0.5052364536254451,0.5128704657665347,0.7330527683654994,0.2673836305544096,0.5035535535535536,0.502971143457146,0.5140845070422535,0.5288301517376407,0.521353085943155,0.5127598282833536,0.000125,0.000125,3.962939999997616
12,0.6500162626290391,0.7335474857338914,0.5083441692299634,0.5140170559154098,0.7335474868536436,0.26753935892885433,0.5041041041041041,0.5047479197258933,0.5162933871138945,0.47616250611845323,0.49541658178855164,0.4960195071586931,0.000125,0.000125,3.732951799989678
13,0.6480928836772246,0.7320262851896467,0.5092776779025654,0.5128738291172916,0.7320262962853169,0.2668163329238928,0.5089089089089089,0.5084769619088221,0.5194179435289583,0.5276554087126775,0.5235042735042735,0.5075736266380927,0.000125,6.25e-05,4.09571649999998
14,0.6455744127806764,0.7373956690560113,0.5063237525811539,0.5117945745469714,0.7373956406894356,0.2690839310147926,0.5045045045045045,0.504219195138621,0.5153733528550513,0.5168869309838473,0.5161290322580645,0.5074223055699104,6.25e-05,6.25e-05,4.065780100005213
15,0.644886803454265,0.7389540117424171,0.5048248374239563,0.5115558789573724,0.7389539883008998,0.26978805145146,0.5020520520520521,0.5021455752022755,0.5134234961647154,0.4979931473323544,0.505590617701138,0.5024357412006702,6.25e-05,6.25e-05,3.9318002999934833
16,0.6449509107033946,0.7394111552634636,0.505016803346584,0.5113818541593149,0.7394111521637418,0.2698996870865417,0.5024024024024024,0.5021949739585095,0.5134152334152334,0.511404796867352,0.5124080431584109,0.5064296071054982,6.25e-05,3.125e-05,4.005659000002197
17,0.6444661186854994,0.7398794523111215,0.5051209492581289,0.5111846457625391,0.7398794325929874,0.2700779568226928,0.5036036036036036,0.5032930248505068,0.5144638161098666,0.5170827214880078,0.5157699443413729,0.5072853551278855,3.125e-05,3.125e-05,3.9236260000034235
18,0.6435516692501422,0.7415426435293975,0.5033247242654662,0.5101300920121143,0.7415426407040345,0.27082117894139407,0.5013513513513513,0.5011918859723322,0.5124358468219502,0.5082721488007832,0.5103455054799233,0.5053838548469576,3.125e-05,3.125e-05,3.781687399998191
19,0.6424558715491521,0.7430403479465374,0.5027141245605553,0.5097940102088236,0.7430403403367342,0.2714112122441956,0.5010510510510511,0.5006906803268889,0.5119301648884578,0.5166911404796868,0.514299634591961,0.508119340653012,3.125e-05,1.5625e-05,3.8821776999975555
