metric,observed_difference,bootstrap_mean_difference,ci_2_5_pct,ci_97_5_pct,ensemble_win_rate,ci_excludes_zero,better_direction
roc_auc_difference,0.017755326523260173,0.010924642549278612,-0.0066225824289217914,0.027789558147880974,0.8655,False,higher
average_precision_difference,0.026734634406727797,0.017793453170595788,-0.0016183396732016718,0.03868807877427267,0.962,False,higher
log_loss_difference,0.037006103207060104,0.041759734800459115,0.02026937757044779,0.05963361552093535,0.0,True,lower
brier_difference,0.017845330005227283,0.02017102307089535,0.00986468220772077,0.02868151679259293,0.0,True,lower
