epoch,train_loss,valid_loss,valid_roc_auc,valid_average_precision,valid_log_loss,valid_brier_score,valid_balanced_accuracy,valid_precision,valid_recall,valid_f1,learning_rate,next_learning_rate,epoch_seconds
1,1.1051194709336594,1.0920430572183282,0.5891070726573798,0.1362064133967535,0.7635356206828612,0.28061732065752704,0.5692766552387651,0.12884509117701234,0.6674618320610687,0.21599505944109929,0.0005,0.0005,4.230951300007291
2,1.042808576547123,1.1117374889604799,0.5816092863508855,0.13359156557561144,0.7719774936632731,0.2840703555191316,0.5673010845124048,0.12811322488741844,0.6650763358778626,0.21484164290668106,0.0005,0.0005,4.092580199998338
3,1.0004734614324846,1.1629016594605164,0.5809133654586556,0.14749384827317744,0.8066031637006444,0.29762267087667776,0.5607865083890927,0.12516656302744958,0.6722328244274809,0.21103871789111062,0.0005,0.0005,4.214418499992462
4,0.9651544524192477,1.1740601287351118,0.5789588298893121,0.14284529789175926,0.8438728805791991,0.31375798919708314,0.5525751940836706,0.12143814951391217,0.6913167938931297,0.20658682634730538,0.0005,0.00025,4.059390800000983
5,0.9379576062863287,1.218578424873772,0.5704469542693286,0.14158650982819065,0.846656020236141,0.31111142874763725,0.5457299244836529,0.12023224653863332,0.642175572519084,0.20254307426077797,0.00025,0.00025,3.9074385999992955
6,0.914968648503717,1.267466097909051,0.5651881249989329,0.1353806193462575,0.9093065593493125,0.33299159130224476,0.5381936026231815,0.11711097862192317,0.6560114503816794,0.19874250198742502,0.00025,0.00025,4.449286300005042
7,0.9008129319367169,1.2472631216765167,0.576022831508739,0.1400777118587166,0.8998193691014005,0.32908428915548926,0.5460512275034531,0.11977284460505937,0.6641221374045801,0.20294503571949263,0.00025,0.000125,4.073089500001515
8,0.8887409153215823,1.2837490994651037,0.5694609429555354,0.13663053113611684,0.9364480540240196,0.3418646091664335,0.5387785320496294,0.1171901384667342,0.6622137404580153,0.19913916786226685,0.000125,0.000125,4.289284200000111
9,0.8779866501189012,1.294602896596815,0.5706096599416768,0.13803382640377662,0.9473926081450086,0.34573192950878134,0.5381670852533972,0.11693548387096774,0.6641221374045801,0.19885714285714284,0.000125,0.000125,4.358666200001608
10,0.8715589519062048,1.3008554409454773,0.5696747892696102,0.13641556999688012,0.9520806628458021,0.34755219535518816,0.5398071605648616,0.117464054485832,0.6665076335877863,0.19972835799556796,0.000125,6.25e-05,3.9659340999933193
11,0.8651536031712801,1.3225880601623274,0.5689026642860436,0.1357032362364567,0.9745599029381102,0.35450868494822924,0.5399857926655409,0.11740688275977001,0.6722328244274809,0.19990068808966446,6.25e-05,6.25e-05,4.2985018999897875
12,0.8599619722094328,1.3059071880919082,0.5690962224112643,0.13619749009578613,0.943372930461992,0.34249605634135427,0.541703232536738,0.11836559139784947,0.6564885496183206,0.2005684716857372,6.25e-05,6.25e-05,4.201380800004699
13,0.8590817999079837,1.3304971325504886,0.5726900196303233,0.13737409151082855,0.9973703256768724,0.3624773236757311,0.5423930576352098,0.11790178936187597,0.6884541984732825,0.20132542727589814,6.25e-05,3.125e-05,4.205344300004072
14,0.8542916975461835,1.3265111233975675,0.572071943491645,0.1369111545779774,0.9872740053334378,0.35858894036481853,0.5416367523702367,0.11781229345670853,0.6803435114503816,0.20084507042253522,3.125e-05,3.125e-05,3.897419399989303
15,0.853706867189639,1.3295916505762049,0.5718648465684709,0.13670249060977938,0.9923178535066853,0.3601004783707015,0.5417242543550378,0.11780212538100338,0.6822519083969466,0.2009132420091324,3.125e-05,3.125e-05,4.290372600007686
16,0.8522440588135499,1.3284127911051233,0.5718778784951708,0.1365735667941662,0.9839336122377439,0.35644300396302425,0.542706784263643,0.11825985498791566,0.6770038167938931,0.20134799574317133,3.125e-05,1.5625e-05,4.029965599998832
