loss,lr,valid_auc
0.7324553571194478,0.02,0.5035060635657481
0.6923324871352476,0.02,0.5099443681282533
0.6919371881087132,0.02,0.49904295736894855
0.6918818197422812,0.02,0.49936047282454366
0.6917384436230934,0.02,0.507374775656714
0.6914376335447907,0.02,0.5046599844259831
0.6916076962108477,0.02,0.49813978970816636
0.6916462444745961,0.02,0.501813312801897
0.6911331059676633,0.02,0.5167502435476478
0.6912993768749779,0.02,0.507550977085343
0.690409353623738,0.01,0.5066886417196682
0.6904410651917803,0.01,0.5069060012596558
0.6899600387285372,0.01,0.5114975041222022
0.69012362285618,0.01,0.5140656028515438
0.6903438930154648,0.01,0.4968884497888335
0.6902726929518821,0.01,0.5085476640353245
0.6900789940894871,0.01,0.5034123187114519
0.6898628462878075,0.01,0.5012755054600538
0.6905155127034039,0.01,0.508056648919706
0.6908669425446956,0.01,0.5012435654423244
0.6902617331158007,0.005,0.501333585966242
0.6901603367962077,0.005,0.4987187501488103
0.6900973896335355,0.005,0.5056971427669168
0.6900135578631025,0.005,0.5027748867851185
