,random_forest,weighted_mlp,ft_transformer,tabnet_v1
random_forest,1.0,0.6702206294823312,0.3721728338474472,0.4228268690625637
weighted_mlp,0.6702206294823312,1.0,0.3795215778048341,0.5049227852947183
ft_transformer,0.3721728338474472,0.3795215778048341,1.0,0.36337386046538045
tabnet_v1,0.4228268690625637,0.5049227852947183,0.36337386046538045,1.0
