loss,lr,valid_auc
0.4658909284009854,0.005,0.5118457679344922
0.41352368370540843,0.005,0.5759852296649656
0.4055968369551922,0.005,0.5745964691241777
0.4024125631863984,0.005,0.5897939365606342
0.39996298298350164,0.005,0.6060917814721164
0.39674149837128625,0.005,0.6151208124964787
0.394188842734209,0.005,0.6118589225773902
0.39184552229565783,0.005,0.622554746363759
0.3884769971799028,0.005,0.6138850070257692
0.38611104461518064,0.005,0.6122258039938467
0.38334440927010205,0.0025,0.607484490273194
0.3815857048168454,0.0025,0.6078788761245073
0.37902717528880087,0.0025,0.6030565697130448
0.37721426157840965,0.0025,0.6037274271556647
0.3756583627510755,0.0025,0.599291756800825
0.3735022554282019,0.0025,0.5826937774137315
0.3705874089967628,0.0025,0.5793995144280102
0.36772228655529937,0.0025,0.5799247397562921
0.36497866780692617,0.0025,0.564553135366851
0.3615682078958791,0.0025,0.5672099410578093
0.3572761744966607,0.00125,0.5680306056332497
0.3550866806339665,0.00125,0.5645346345661012
0.3530853708063572,0.00125,0.5665550767371065
