random_forest_weight,weighted_mlp_weight,ft_transformer_weight,tabnet_v1_weight,rows,positive_rate_actual,positive_rate_predicted,average_probability,roc_auc,average_precision,log_loss,brier_score,accuracy,balanced_accuracy,precision,recall,f1,threshold
0.7,0.0,0.1,0.2,19980,0.10490490490490491,0.3677177177177177,0.4625180257569368,0.6770187828345863,0.22878014982370515,0.6317494735837937,0.22027881069972757,0.6539039039039038,0.6314585001562231,0.17204301075268819,0.6030534351145038,0.2677115323520068,0.5
0.6,0.0,0.1,0.3,19980,0.10490490490490491,0.41136136136136137,0.4740374423776307,0.6766718428003368,0.22818941509550167,0.649947421127617,0.2291146592469086,0.618968968968969,0.6302653252256698,0.16437522812994282,0.6445610687022901,0.26194861851672324,0.5
0.8,0.0,0.1,0.1,19980,0.10490490490490491,0.32707707707707706,0.45099860913624296,0.6740829845347711,0.22669379759674793,0.6150410161353044,0.21220999859884015,0.6880380380380381,0.6368373645426592,0.18347360367253251,0.5720419847328244,0.2778357084926428,0.5
0.5,0.0,0.1,0.4,19980,0.10490490490490491,0.45990990990990993,0.48555685899832446,0.673821652387481,0.225685094572102,0.6697540562277547,0.2387175442403833,0.5779279279279279,0.6231341802387225,0.15518554793775166,0.6803435114503816,0.25272485600354455,0.5
0.7,0.0,0.0,0.3,19980,0.10490490490490491,0.39444444444444443,0.46965516193740797,0.6736793549524416,0.21998625226193078,0.6430723569944422,0.22574918488590492,0.6317817817817818,0.6287883023932006,0.16622256058875778,0.625,0.26260398917510275,0.5
0.6,0.1,0.1,0.2,19980,0.10490490490490491,0.3943943943943944,0.46799225553872914,0.6735248659298857,0.23027347593607847,0.6409658723501979,0.2247594328921528,0.6314314314314314,0.6277502300661941,0.16573604060913705,0.6230916030534351,0.26182838813151565,0.5
0.8,0.0,0.0,0.2,19980,0.10490490490490491,0.348998998998999,0.45813574531671414,0.6731322808053939,0.21910418916517554,0.6255371140919057,0.2172102475094566,0.6692192192192192,0.6328535165553755,0.17639466513695684,0.5868320610687023,0.27125372146873966,0.5
0.5,0.1,0.1,0.3,19980,0.10490490490490491,0.43723723723723723,0.47951167215942303,0.6730955459782381,0.22972567641651317,0.6596937729379931,0.23384243460316587,0.595995995995996,0.6235397839511969,0.15796703296703296,0.6583969465648855,0.2548005908419498,0.5
0.6,0.0,0.2,0.2,19980,0.10490490490490491,0.3911411411411411,0.4669003061971594,0.6725871007561879,0.22678686110621854,0.6407405427173039,0.2247371068155793,0.6355855855855855,0.6319660650229384,0.16826615483045426,0.6273854961832062,0.26536171930178587,0.5
0.5,0.0,0.2,0.3,19980,0.10490490490490491,0.4315315315315315,0.4784197228178532,0.6722062803802622,0.22573027644272264,0.6597524112969781,0.23386986653349304,0.6014014014014014,0.6259274676840231,0.15970772442588727,0.6569656488549618,0.256950923679791,0.5
0.7,0.1,0.1,0.1,19980,0.10490490490490491,0.3515015015015015,0.45647283891803536,0.6711469461380466,0.22839385019318503,0.6237580952818917,0.21644346762743336,0.6665165165165166,0.630922603854185,0.17485405097536666,0.5858778625954199,0.26932777716854917,0.5
0.6,0.0,0.0,0.4,19980,0.10490490490490491,0.44374374374374376,0.48117457855810186,0.6710683010614631,0.21846848348793496,0.6621631274865891,0.23505515870864688,0.5911911911911912,0.6244358789723767,0.1575682382133995,0.6665076335877863,0.2548804962598066,0.5
0.7,0.0,0.2,0.1,19980,0.10490490490490491,0.3531031031031031,0.4553808895764656,0.6706774766476411,0.22590418680758312,0.6232886890433961,0.21637138354395907,0.6654154154154154,0.631360487262272,0.17476966690290574,0.5882633587786259,0.26947874549229595,0.5
0.4,0.1,0.1,0.4,19980,0.10490490490490491,0.48663663663663664,0.49103108878011686,0.6705611096788293,0.22755692739184047,0.6800704958537036,0.24369247276047257,0.554004004004004,0.615666846223585,0.14954232232849943,0.6937022900763359,0.2460445046112192,0.5
