epoch,train_loss,valid_loss,valid_roc_auc,valid_average_precision,valid_log_loss,valid_brier_score,valid_accuracy,valid_balanced_accuracy,valid_precision,valid_recall,valid_f1,learning_rate,next_learning_rate,epoch_seconds
1,0.6966110817216554,0.6937025431159499,0.5094218841753302,0.5155281910537428,0.6937025337846623,0.25027436915420515,0.5087587587587588,0.505715819556945,0.5157579577686732,0.6408223201174743,0.571528353778321,0.0002,0.0002,38.059165500002564
2,0.6888231129948953,0.6966514311275921,0.506541483050412,0.5122962957593601,0.6966514053091967,0.25172897340331196,0.5024024024024024,0.5040400964516355,0.5159854783932545,0.43132648066568774,0.46987309374000213,0.0002,0.0002,36.975077499999315
3,0.6847180789426905,0.6983689281198237,0.5058647075586111,0.5094575990977235,0.6983689278443947,0.2524657889715713,0.5075075075075075,0.5046026558034516,0.5149176545469011,0.6335780714635341,0.5681179775280899,0.0002,0.0002,36.23142479998933
4,0.6802592955932262,0.7015487719345856,0.5054916930640487,0.5105090490351095,0.7015487583070983,0.2540601485007312,0.5049049049049049,0.5051273202189785,0.5164880040837162,0.4952520802741067,0.5056471764117941,0.0002,0.0001,36.19872800000303
5,0.6744008872966618,0.7241140241140838,0.4992059306577804,0.5052725341662753,0.7241140225239847,0.26410670341429976,0.49309309309309307,0.4966659223018467,0.506379234491861,0.33803230543318646,0.4054244452271927,0.0001,0.0001,36.38776030000008
6,0.6703764723600999,0.7122850469163469,0.524410965571498,0.5165984174782035,0.7122850469148945,0.25837503377253523,0.5203703703703704,0.521091238826069,0.5337606837606838,0.48908467939304945,0.5104469987228608,0.0001,0.0001,36.11204560000624
7,0.6668514165213135,0.7161326829377596,0.5219251780523155,0.5146762019185843,0.7161326933350136,0.25993930571395246,0.5133133133133133,0.5146858667677199,0.5279644606447204,0.45374449339207046,0.4880488575339581,0.0001,0.0001,36.54842279999866
8,0.6632418252700498,0.7362171205672415,0.5152573083717984,0.5098093345847473,0.7362171244902596,0.2675391958952301,0.5124124124124124,0.5132296185017515,0.5255096537590336,0.4769456681350954,0.5000513188956174,0.0001,0.0001,36.45174570000381
9,0.6592670200144185,0.7276775128490574,0.5214584136908992,0.5114692592452461,0.7276774996390862,0.2647268516324281,0.5094094094094094,0.5114950229061356,0.525352977286679,0.4188937836514929,0.46612200435729845,0.0001,5e-05,36.56204640000942
10,0.654751779726368,0.7440013573215053,0.521119329199477,0.5152959034170733,0.7440013655124473,0.27079659275478773,0.5100600600600601,0.5129072859781969,0.5285140562248996,0.3864904552129222,0.44648006785411365,5e-05,5e-05,38.06614929999341
11,0.6522769887409909,0.7422230820278745,0.5236185754361113,0.5151831408428676,0.7422230746013291,0.2696905330929792,0.5146646646646647,0.5160864004547392,0.5296474358974359,0.45296133137542827,0.48831196242942326,5e-05,5e-05,35.911292999997386
12,0.6503010483905236,0.745739672253201,0.5247443056717843,0.5167133650435557,0.745739662636952,0.27061607115834985,0.5167667667667668,0.5181015990309723,0.5317676423871114,0.45883504650024476,0.4926165326606758,5e-05,5e-05,36.01437080001051
13,0.6485403957839655,0.7542781768857061,0.5237290622331596,0.5150008130526353,0.7542781785180547,0.2742300060692035,0.5071571571571571,0.5099893758839332,0.5245923549852981,0.3842388644150759,0.44357800757190485,5e-05,5e-05,35.789185200002976
14,0.6464911462749809,0.7614990613959335,0.5186741885107666,0.512202341386354,0.7614990564422229,0.27666742521652804,0.509059059059059,0.5112629164213647,0.5252487562189054,0.41341164953499754,0.4626677622569159,5e-05,5e-05,35.83598270000948
15,0.6454052520408773,0.7667947187438026,0.5177270907942122,0.5116464962030838,0.7667947089468966,0.2789981305153634,0.5046546546546546,0.5075622954406527,0.5214459131373078,0.3784630445423397,0.4385954960576323,5e-05,2.5e-05,35.92939530000149
16,0.6421120032329647,0.7574874958118519,0.5245707959866456,0.5159861063256488,0.7574874825310797,0.27490464505802714,0.5117617617617618,0.513497815402036,0.5271996215704825,0.436417033773862,0.47753200149965186,2.5e-05,2.5e-05,35.914516400007415
17,0.6414197067526867,0.7697879973235908,0.5179861046887715,0.5129291294340121,0.7697879941506474,0.2794300522293717,0.5099599599599599,0.5116341965709594,0.5249118683901293,0.43729809104258444,0.4771161548731642,2.5e-05,2.5e-05,35.928241700006765
18,0.6402212199540549,0.7679703010572447,0.5223368243291506,0.5155374175303448,0.7679702960522508,0.27841275854941233,0.5116616616616617,0.5132397689311147,0.5266402978129362,0.4431718061674009,0.48131412471426294,2.5e-05,1.25e-05,35.78831730000093
19,0.6387023326898267,0.7705224346828174,0.5226247606816978,0.515756191339561,0.7705224244060292,0.2791185131368206,0.5132132132132132,0.5146082723743659,0.5279141454503938,0.4526676456191875,0.4874038157478655,1.25e-05,1.25e-05,35.92446530000598
20,0.6382940694444573,0.7701719736551738,0.5206160333174686,0.5147244912541178,0.7701719488193562,0.27929563236943916,0.5087087087087087,0.5103676485515337,0.523407250967969,0.43671071953010276,0.47614473262888246,1.25e-05,1.25e-05,35.89205559999391
21,0.6378237567192362,0.7729299182409758,0.5201520058125619,0.5143491215665734,0.7729299155341335,0.28025385102364764,0.5089089089089089,0.5105544164518159,0.5236086701816052,0.43749388154674496,0.47669333333333336,1.25e-05,6.25e-06,35.932442399993306
22,0.6374018576899833,0.7755603817967442,0.520367209952734,0.5146215900718891,0.7755603586365718,0.28101831981194153,0.5084084084084084,0.5102566705238298,0.5235188509874327,0.4281938325991189,0.47108239095315024,6.25e-06,6.25e-06,35.815807799997856
