epoch,train_loss,valid_loss,valid_roc_auc,valid_average_precision,valid_log_loss,valid_brier_score,valid_accuracy,valid_balanced_accuracy,valid_precision,valid_recall,valid_f1,average_valid_probability,learning_rate,epoch_seconds
1,0.7090577373674622,0.6969499507465878,0.5065930221687884,0.5128569998478506,0.6969499592871508,0.2517859752617289,0.5141641641641642,0.5101359931969567,0.5187205188679245,0.6889867841409691,0.5918513223731237,0.5201566528771315,0.001,3.339759300011792
2,0.6924558911206752,0.6954786853270011,0.509963952191227,0.5166025399015686,0.6954786936488974,0.25111766716382233,0.5073073073073073,0.5038970881801634,0.5142505953752785,0.6553108174253549,0.5762741046831956,0.5170686977209749,0.001,3.254368299996713
3,0.687000367873183,0.6940318052475158,0.5238549024944742,0.5254662268216945,0.694031809600963,0.2503697219847379,0.517967967967968,0.5162830932192877,0.5254089801601114,0.5910915320606951,0.5563182383562906,0.5090400436469862,0.001,3.3124928000033833
4,0.6835618516004319,0.6937639631189264,0.530320094416537,0.5287919578345455,0.6937639888117145,0.25023846926604887,0.5242742742742743,0.5220625221335751,0.5296773114863735,0.6202643171806167,0.5714028047075799,0.5109424461212543,0.001,3.0937172999983886
5,0.6803411968146327,0.6966632197569083,0.5224574866183507,0.522480943272259,0.6966632377933747,0.2516195901972174,0.5163163163163164,0.5144986477372437,0.5237315875613748,0.5952031326480666,0.5571847507331378,0.5117986383701528,0.001,3.2837963000056334
6,0.6769239805504836,0.6986807744185607,0.524269927235206,0.5244000809097762,0.6986807965531058,0.2525974743967908,0.5167167167167167,0.5163609131777386,0.5271017162804228,0.5321585903083701,0.529618082618862,0.49984739039827875,0.001,3.011987899997621
7,0.6741308087507777,0.7011243408029383,0.5237051773956705,0.5201577560222836,0.7011243656802062,0.2537238797523899,0.5175675675675676,0.5176531756182176,0.529026405966539,0.5138521781693588,0.521328897055172,0.49742263086751715,0.001,3.187745499992161
8,0.671216474572696,0.7028457628356086,0.518917773752694,0.5178172313059208,0.7028457490482538,0.25456887727062477,0.5138138138138139,0.5141445105350179,0.525816757703803,0.4994615761135585,0.5123004317702581,0.4945760666503682,0.0005,3.1585975000052713
9,0.6700739859994826,0.7042695877907632,0.5136091643590104,0.515175040792294,0.7042695874279864,0.255235893082562,0.5095095095095095,0.5084643302633924,0.5190000915667063,0.5548702887909936,0.5363361090083271,0.508990181975805,0.0005,3.153857799989055
10,0.6678485187992349,0.7053226025493534,0.515422276658599,0.5156025484768604,0.7053226170215426,0.25564589501009066,0.5145145145145145,0.5137042074657536,0.5240317312179188,0.5496818404307391,0.5365504061156235,0.5068227769696975,0.0005,3.230266100013978
11,0.6665222513326119,0.7071674152537509,0.5139768555172847,0.5135734742125942,0.707167414551787,0.2565064598297623,0.5133133133133133,0.5124617949117025,0.522835085108362,0.5502692119432208,0.5362014690451207,0.507008145125704,0.00025,3.168735500003095
12,0.6659098969974114,0.7074821711063862,0.5150410465819494,0.5142428433834695,0.7074821536382445,0.2566369465174594,0.5135635635635636,0.512785480825839,0.5232079356166948,0.5473323543808125,0.5349983254389742,0.506926742496642,0.00025,3.181423999994877
13,0.6643317612582312,0.7078542858272702,0.5149645699889649,0.5144827149020378,0.7078542787530723,0.2567721047804124,0.5126126126126126,0.51183517507235,0.5223210107627515,0.5463534018600098,0.534066985645933,0.5064851749897212,0.00025,3.282683800003724
14,0.6632275058054674,0.7088889930579994,0.5142908872452712,0.5139359901215625,0.7088889902435306,0.25724480249833365,0.5127127127127127,0.5119330703244303,0.5224104051651539,0.5465491923641703,0.5342072528944598,0.5064493013234498,0.000125,3.245106100002886
15,0.6634748476789774,0.7097724357166806,0.5126786130954574,0.512894853873914,0.7097724243539988,0.2576829452771649,0.5099099099099099,0.5094807265902903,0.5203855421686747,0.5285364659813999,0.5244293346284604,0.5031754427635157,0.000125,3.261356999995769
16,0.6632206591293252,0.709096152443547,0.5143953188726056,0.514399881548661,0.7090961441663294,0.257335239931723,0.5111111111111111,0.510653213964284,0.5214883184309201,0.5309838472834068,0.5261932479627474,0.5037814204816943,0.000125,3.2642134000052465
17,0.6622364606340492,0.708908263913862,0.5143423812506281,0.514162141057711,0.7089082662713038,0.2572521903862014,0.5119119119119119,0.5111070509393658,0.5216173312167336,0.5468428781204112,0.5339323265150067,0.5068472574698972,6.25e-05,3.273632500000531
18,0.6621318261441106,0.7101764770957443,0.5136066430424822,0.5136240404979138,0.7101765170772667,0.25781317440380813,0.5106606606606606,0.5099871202329637,0.5206759818731118,0.5398923152227117,0.530110059114721,0.5060982499782507,6.25e-05,3.213246799990884
19,0.6616829344263078,0.7097058402048098,0.5144506925976302,0.5141253415884566,0.7097058346176451,0.25759842485845846,0.5106106106106106,0.5099494508617715,0.5206502220962101,0.5393049437102301,0.5298134256587805,0.5055843159000765,6.25e-05,3.206132900013472
